Inventory_800
{
	// Main Inventory : 0 to 34

	// Line 1

	"0"		"185 435 44"
	"1"		"234 435 44"
	"2"		"282 435 44"
	"3"		"330 435 44"
	"4"		"379 435 44"
	"5"		"428 435 44"
	"6"		"476 435 44"
	"7"		"523 435 44"
	"8"		"572 435 44"
	
	// Line 2

	"9"	"185 485 44"
	"10"	"234 485 44"
	"11"	"282 485 44"
	"12"	"330 485 44"
	"13"	"379 485 44"
	"14"	"428 485 44"
	"15"	"476 485 44"
	"16"	"523 485 44"
	"17"	"572 485 44"

	// Line 3

	"18"	"185 535 44"
	"19"	"234 535 44"
	"20"	"282 535 44"
	"21"	"330 535 44"
	"22"	"379 535 44"
	"23"	"428 535 44"
	"24"	"476 535 44"
	"25"	"523 535 44"
//	"26"	"572 535 44"

	// Belt : 26 to 34
	"26"		"183 373 44"
	"27"		"231 373 44"
	"28"		"279 373 44"	
	"29"		"328 373 44"
	"30"		"377 373 44"
	"31"		"426 373 44"
	"32"		"475 373 44"
	"33"		"523 373 44"
	"34"		"571 373 44"

	// Weapon 35 : just for weapon resize
	"35"		"-1000 -1000 44 95"

	// SelectedItem
	"36"		"579 93 174 113"

	// SelectedItem Name
	"37"		"579 60 174 24"

	// SelectedItem Desc
	"38"		"579 215 174 91"


	// Item Desc ScrollBar
	"39"		"763 175 13 118"

	// Gold Icon
	"40"		"600 326 24 20"

	// Gold Value
	"41"		"655 326 24 20"

	// Line 1

	"42"		"90 153 44"
	"43"		"138 153 44"
	"44"		"187 153 44"
	"45"		"234 153 44"
	"46"		"281 153 44"
	"47"		"330 153 44"
	"48"		"378 153 44"
	"49"		"426 153 44"
	"50"		"474 153 44"
	
	// Line 2

	"51"		"90 200 44"
	"52"		"138 200 44"
	"53"		"187 200 44"
	"54"		"234 200 44"
	"55"		"281 200 44"
	"56"		"330 200 44"
	"57"		"378 200 44"
	"58"		"426 200 44"
	"59"		"476 200 44"

	// Line 3

	"60"		"90 249 44"
	"61"		"138 249 44"
	"62"		"187 249 44"
	"63"		"234 249 44"
	"64"		"281 249 44"
	"65"		"330 249 44"
	"66"		"378 249 44"
	"67"		"426 249 44"
	"68"		"476 249 44"

	// Line 4
	"69"		"-1 -1 44"
	"70"		"-1 -1 44"
	"71"		"-1 -1 44"	
	"72"		"-1 -1 44"
	"73"		"-1 -1 44"
	"74"		"-1 -1 44"
	"75"		"-1 -1 44"
	"76"		"-1 -1 44"
	"77"		"-1 -1 44"
}
